pdb	seed	dockq_ha	paegat_pred	iptm
8cbf	1	0.026250549	0.41322663	0.7242237
8cbf	2	0.025079066	0.62106556	0.88201934
8cbf	3	0.019974064	0.07035982	0.5872645
8cbf	4	0.02671129	0.40763828	0.7288164
8cbf	5	0.026409585	0.44818377	0.74016964
8f5i	1	0.68608963	0.28128472	0.9124813
8f5i	2	0.6835973	0.3355092	0.92465484
8f5i	3	0.75275695	0.47683868	0.9133269
8f5i	4	0.7203854	0.34796235	0.9095929
8f5i	5	0.7793603	0.5456206	0.91358024
8fdo	1	0.04789159	0.19559655	0.74281925
8fdo	2	0.08705214	0.076919794	0.6745076
8fdo	3	0.053963	0.19157255	0.7581628
8fdo	4	0.64879715	0.31817058	0.8391201
8fdo	5	0.046336565	0.24158126	0.7526686
8gjr	1	0.7369805	0.29154763	0.82488525
8gjr	2	0.7144888	0.2881912	0.7518599
8gjr	3	0.00773149	0.18041657	0.413005
8gjr	4	0.42982197	0.30590048	0.69555956
8gjr	5	0.60374904	0.3157165	0.81564474
8h63	1	0.6431826	0.44054142	0.7866559
8h63	2	0.7193408	0.46820676	0.7866678
8h63	3	0.7295541	0.4604598	0.8116727
8h63	4	0.7146118	0.47591504	0.83924234
8h63	5	0.47381708	0.46763554	0.80220425
8oxv	1	0.00455804	0.0735598	0.6478977
8oxv	2	0.0038987384	0.012015731	0.35193998
8oxv	3	0.01733845	0.059956495	0.64118445
8oxv	4	0.004725538	0.012726386	0.34828943
8oxv	5	0.002901389	0.022248708	0.43057215
8pww	1	0.008554645	0.036734927	0.18154913
8pww	2	0.007836748	0.04503905	0.22974896
8pww	3	0.0051561487	0.12726091	0.50497496
8pww	4	0.0073365546	0.031229628	0.1429129
8pww	5	0.007439279	0.03462613	0.17004505
8q95	1	0.7643449	0.28605163	0.90715766
8q95	2	0.7706024	0.27402595	0.9193964
8q95	3	0.7614705	0.25659704	0.92805475
8q95	4	0.77019644	0.2609621	0.88162804
8q95	5	0.77144873	0.25015324	0.91510123
8qrg	1	0.011140099	0.23366101	0.3822296
8qrg	2	0.011852037	0.26307574	0.51561576
8qrg	3	0.00991195	0.25612518	0.64206755
8qrg	4	0.011679143	0.2324713	0.4985913
8qrg	5	0.011643577	0.24262595	0.5183787
8rby	1	0.3507059	0.33823517	0.69539934
8rby	2	0.31545943	0.34856412	0.69940734
8rby	3	0.3494241	0.2591857	0.6582868
8rby	4	0.38460067	0.33674318	0.68987375
8rby	5	0.34427503	0.4128812	0.7794804
8sgn	1	0.09210361	0.022521595	0.39548078
8sgn	2	0.0054058013	0.03584884	0.47721422
8sgn	3	0.0039313254	0.026923694	0.43381968
8sgn	4	0.34686974	0.037810635	0.48605812
8sgn	5	0.0041209785	0.05451317	0.5461447
8sow	1	0.15842402	0.21972007	0.6064705
8sow	2	0.15868455	0.23393944	0.6114963
8sow	3	0.15973516	0.23779337	0.63392174
8sow	4	0.14679642	0.23189639	0.5917742
8sow	5	0.14856154	0.22746004	0.574579
8ts0	1	0.058019567	0.27556968	0.7349214
8ts0	2	0.05576362	0.26699072	0.72802466
8ts0	3	0.059950452	0.30145815	0.73211545
8ts0	4	0.058704887	0.3100905	0.74937856
8ts0	5	0.056982264	0.3635123	0.75300163
