pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid	abangle	annotation_H	annotation_L	imgt_H	imgt_L	sequence_raw	sequence_H	sequence_L	structure	structure_chothia	in_nr_set	curated_quality_dataset	split	date_parsed	has_light_chain
7y3o	H	L	0	A	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	12/27/23	Crystal structure of SARS-CoV-2 receptor binding domain in complex with human antibody BIOLS56	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Rao, X., Gao, F., Wu, Y., Gao, F.	2.1	X-RAY DIFFRACTION	0.229	0.183	False	True	IGHV3	IGKV1	Kappa						sabdab_dataset/7y3o/abangle/7y3o.abangle	sabdab_dataset/7y3o/annotation/7y3o_H_VH.ann	sabdab_dataset/7y3o/annotation/7y3o_L_VL.ann	sabdab_dataset/7y3o/imgt/7y3o_H_H.ann	sabdab_dataset/7y3o/imgt/7y3o_L_L.ann	sabdab_dataset/7y3o/sequence/7y3o_raw.pdb	sabdab_dataset/7y3o/sequence/7y3o_H_VH.fa	sabdab_dataset/7y3o/sequence/7y3o_L_VL.fa	sabdab_dataset/7y3o/structure/7y3o.pdb	sabdab_dataset/7y3o/structure/chothia/7y3o.pdb	False	False	test	2023-12-27	True
7yds	B	C	0	A	protein		programmed cell death 1 ligand 1	IMMUNE SYSTEM	07/19/23	The structure of the bispecific antibody targeted PD-L1 and 4-1BB	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Gao, Y., Zhu, M., Liu, W.T., Cheng, L.S., Zhu, Z.L., Niu, L.W.	2.3	X-RAY DIFFRACTION	0.246	0.194	False	True	IGHV3	IGKV1	Kappa						sabdab_dataset/7yds/abangle/7yds.abangle	sabdab_dataset/7yds/annotation/7yds_B_VH.ann	sabdab_dataset/7yds/annotation/7yds_C_VL.ann	sabdab_dataset/7yds/imgt/7yds_B_H.ann	sabdab_dataset/7yds/imgt/7yds_C_L.ann	sabdab_dataset/7yds/sequence/7yds_raw.pdb	sabdab_dataset/7yds/sequence/7yds_B_VH.fa	sabdab_dataset/7yds/sequence/7yds_C_VL.fa	sabdab_dataset/7yds/structure/7yds.pdb	sabdab_dataset/7yds/structure/chothia/7yds.pdb	True	False	train	2023-07-19	True
7yv1	H	L	0	A	protein		isoform 2b of gtpase kras	SIGNALING PROTEIN	07/26/23	Human K-Ras G12D (GDP-bound) in complex with cyclic peptide inhibitor LUNA18 and KA30L Fab	Homo sapiens; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Irie, M., Fukami, T.A., Matsuo, A., Saka, K., Nishimura, M., Saito, H., Torizawa, T., Tanada, M., Ohta, A.	1.454	X-RAY DIFFRACTION	0.277	0.238	False	True	IGHV4	IGKV1	Kappa						sabdab_dataset/7yv1/abangle/7yv1.abangle	sabdab_dataset/7yv1/annotation/7yv1_H_VH.ann	sabdab_dataset/7yv1/annotation/7yv1_L_VL.ann	sabdab_dataset/7yv1/imgt/7yv1_H_H.ann	sabdab_dataset/7yv1/imgt/7yv1_L_L.ann	sabdab_dataset/7yv1/sequence/7yv1_raw.pdb	sabdab_dataset/7yv1/sequence/7yv1_H_VH.fa	sabdab_dataset/7yv1/sequence/7yv1_L_VL.fa	sabdab_dataset/7yv1/structure/7yv1.pdb	sabdab_dataset/7yv1/structure/chothia/7yv1.pdb	True	False	train	2023-07-26	True
7z1x	B		0	A	protein		gasdermin-d	IMMUNE SYSTEM	09/06/23	Crystal structure of human Gasdermin D complexed with nanobodies VHH-2 and VHH-6	Homo sapiens; Lama glama	lama glama		homo sapiens	Kopp, A., Hagelueken, G., Geyer, M.	1.86	X-RAY DIFFRACTION	0.249	0.212	False	True	IGHV1									sabdab_dataset/7z1x/annotation/7z1x_B_VH.ann		sabdab_dataset/7z1x/imgt/7z1x_B_H.ann		sabdab_dataset/7z1x/sequence/7z1x_raw.pdb	sabdab_dataset/7z1x/sequence/7z1x_B_VH.fa		sabdab_dataset/7z1x/structure/7z1x.pdb	sabdab_dataset/7z1x/structure/chothia/7z1x.pdb	True	True	train	2023-09-06	False
7zau	B		0	A	protein		fascin	STRUCTURAL PROTEIN	09/27/23	Fascin-1 in complex with Nb 3E11	Homo sapiens; Lama glama	lama glama		homo sapiens	Burgess, S.G., Bayliss, R.	2.2	X-RAY DIFFRACTION	0.29	0.247	False	True	IGHV1									sabdab_dataset/7zau/annotation/7zau_B_VH.ann		sabdab_dataset/7zau/imgt/7zau_B_H.ann		sabdab_dataset/7zau/sequence/7zau_raw.pdb	sabdab_dataset/7zau/sequence/7zau_B_VH.fa		sabdab_dataset/7zau/structure/7zau.pdb	sabdab_dataset/7zau/structure/chothia/7zau.pdb	True	True	train	2023-09-27	False
7zoz	H	L	0	A	protein		sialic acid-binding ig-like lectin 15	IMMUNE SYSTEM	06/28/23	Crystal structure of Siglec-15 in complex with Fab	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Lenza, M.P., Oyenarte, I., Jimenez-Barbero, J., Ereno-Orbea, J.	2.104	X-RAY DIFFRACTION	0.218	0.176	False	True	IGHV1	IGKV14	Kappa						sabdab_dataset/7zoz/abangle/7zoz.abangle	sabdab_dataset/7zoz/annotation/7zoz_H_VH.ann	sabdab_dataset/7zoz/annotation/7zoz_L_VL.ann	sabdab_dataset/7zoz/imgt/7zoz_H_H.ann	sabdab_dataset/7zoz/imgt/7zoz_L_L.ann	sabdab_dataset/7zoz/sequence/7zoz_raw.pdb	sabdab_dataset/7zoz/sequence/7zoz_H_VH.fa	sabdab_dataset/7zoz/sequence/7zoz_L_VL.fa	sabdab_dataset/7zoz/structure/7zoz.pdb	sabdab_dataset/7zoz/structure/chothia/7zoz.pdb	True	False	train	2023-06-28	True
8a44	C	D	0	A	protein		duffy binding protein	CELL ADHESION	06/07/23	Plasmodium vivax Duffy binding protein region II bound the DARC ectodomain and monoclonal antibody DB1	Homo sapiens; Plasmodium vivax	homo sapiens	homo sapiens	plasmodium vivax	Moskovitz, R., Higgins, M.K.	2.49	X-RAY DIFFRACTION	0.225	0.196	False	True	IGHV5	IGKV1	Kappa						sabdab_dataset/8a44/abangle/8a44.abangle	sabdab_dataset/8a44/annotation/8a44_C_VH.ann	sabdab_dataset/8a44/annotation/8a44_D_VL.ann	sabdab_dataset/8a44/imgt/8a44_C_H.ann	sabdab_dataset/8a44/imgt/8a44_D_L.ann	sabdab_dataset/8a44/sequence/8a44_raw.pdb	sabdab_dataset/8a44/sequence/8a44_C_VH.fa	sabdab_dataset/8a44/sequence/8a44_D_VL.fa	sabdab_dataset/8a44/structure/8a44.pdb	sabdab_dataset/8a44/structure/chothia/8a44.pdb	True	False	train	2023-06-07	True
8acf	H	L	0	A	protein		complement c2b fragment	IMMUNE SYSTEM	01/17/24	Structure of the argX-117 in complex with a complement C2 fragment at low pH	Homo sapiens; Lama glama	homo sapiens	homo sapiens	homo sapiens	Olesen, H.G., Andersen, G.R.	1.8	X-RAY DIFFRACTION	0.199	0.178	False	True	IGHV1	IGKV3	Kappa						sabdab_dataset/8acf/abangle/8acf.abangle	sabdab_dataset/8acf/annotation/8acf_H_VH.ann	sabdab_dataset/8acf/annotation/8acf_L_VL.ann	sabdab_dataset/8acf/imgt/8acf_H_H.ann	sabdab_dataset/8acf/imgt/8acf_L_L.ann	sabdab_dataset/8acf/sequence/8acf_raw.pdb	sabdab_dataset/8acf/sequence/8acf_H_VH.fa	sabdab_dataset/8acf/sequence/8acf_L_VL.fa	sabdab_dataset/8acf/structure/8acf.pdb	sabdab_dataset/8acf/structure/chothia/8acf.pdb	True	False	train	2024-01-17	True
8aci	H	L	0	A	protein		complement c2b fragment	IMMUNE SYSTEM	01/17/24	Structure of ARG-117 Fab in complex with a fragment of complement C2, neutral pH	Homo sapiens; Lama glama	homo sapiens	homo sapiens	homo sapiens	Olesen, H.G., Andersen, G.R.	1.85	X-RAY DIFFRACTION	0.199	0.187	False	True	IGHV1	IGKV3	Kappa						sabdab_dataset/8aci/abangle/8aci.abangle	sabdab_dataset/8aci/annotation/8aci_H_VH.ann	sabdab_dataset/8aci/annotation/8aci_L_VL.ann	sabdab_dataset/8aci/imgt/8aci_H_H.ann	sabdab_dataset/8aci/imgt/8aci_L_L.ann	sabdab_dataset/8aci/sequence/8aci_raw.pdb	sabdab_dataset/8aci/sequence/8aci_H_VH.fa	sabdab_dataset/8aci/sequence/8aci_L_VL.fa	sabdab_dataset/8aci/structure/8aci.pdb	sabdab_dataset/8aci/structure/chothia/8aci.pdb	False	False	train	2024-01-17	True
8aok	B		0	A	protein		programmed cell death 1 ligand 1	IMMUNE SYSTEM	06/14/23	Complex of PD-L1 with VHH6	Homo sapiens; Lama glama	lama glama		homo sapiens	Kang-Pettinger, T., Hall, G.	1.6	X-RAY DIFFRACTION	0.185	0.162	False	True	IGHV1									sabdab_dataset/8aok/annotation/8aok_B_VH.ann		sabdab_dataset/8aok/imgt/8aok_B_H.ann		sabdab_dataset/8aok/sequence/8aok_raw.pdb	sabdab_dataset/8aok/sequence/8aok_B_VH.fa		sabdab_dataset/8aok/structure/8aok.pdb	sabdab_dataset/8aok/structure/chothia/8aok.pdb	True	True	test	2023-06-14	False
8aom	V		0	A	protein		programmed cell death 1 ligand 1	IMMUNE SYSTEM	06/14/23	Complex of PD-L1 with VHH1	Homo sapiens; Lama glama	lama glama		homo sapiens	Kang-Pettinger, T., Hall, G.	2.202	X-RAY DIFFRACTION	0.245	0.208	False	True	IGHV1									sabdab_dataset/8aom/annotation/8aom_V_VH.ann		sabdab_dataset/8aom/imgt/8aom_V_H.ann		sabdab_dataset/8aom/sequence/8aom_raw.pdb	sabdab_dataset/8aom/sequence/8aom_V_VH.fa		sabdab_dataset/8aom/structure/8aom.pdb	sabdab_dataset/8aom/structure/chothia/8aom.pdb	True	True	train	2023-06-14	False
